Student_ID,Student_Name,Stream,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Preferred_AI_Tool,Year_of_Study,Do_Professors_Allow_Use,Awareness_Level
12,kabir,arts,gemini,4.4,coding help,3,-3,copilot,3,yes,9
12,kabir,arts,copilot,4.4,coding help,3,-3,copilot,3,yes,9
13,atharv,management,gemini,3.6,exam prep,1,3,copilot,2,no,10
13,atharv,management,midjourney,3.6,exam prep,1,3,copilot,2,no,10
13,atharv,management,gemini,3.6,notes,1,3,copilot,2,no,10
13,atharv,management,midjourney,3.6,notes,1,3,copilot,2,no,10
14,om,engineering,chatgpt,4.1,mcq practice,2,3,gemini,3,yes,7
14,om,engineering,gemini,4.1,mcq practice,2,3,gemini,3,yes,7
14,om,engineering,copilot,4.1,mcq practice,2,3,gemini,3,yes,7
14,om,engineering,chatgpt,4.1,projects,2,3,gemini,3,yes,7
14,om,engineering,gemini,4.1,projects,2,3,gemini,3,yes,7
14,om,engineering,copilot,4.1,projects,2,3,gemini,3,yes,7
15,anaya,arts,chatgpt,4.3,content writing,4,-2,copilot,2,no,1
16,siya,management,chatgpt,2.5,learning new topics,2,-2,chatgpt,3,no,5
17,diya,law,gemini,3.2,content writing,2,-3,copilot,2,no,9
17,diya,law,midjourney,3.2,content writing,2,-3,copilot,2,no,9
18,myra,management,chatgpt,3.7,doubt solving,3,1,chatgpt,3,yes,10
18,myra,management,chatgpt,3.7,resume writing,3,1,chatgpt,3,yes,10
19,aadhya,pharmacy,gemini,4.4,mcq practice,1,2,copilot,1,no,4
19,aadhya,pharmacy,gemini,4.4,projects,1,2,copilot,1,no,4
20,riya,management,chatgpt,3.8,mcq practice,5,-2,copilot,2,no,4
20,riya,management,gemini,3.8,mcq practice,5,-2,copilot,2,no,4
20,riya,management,copilot,3.8,mcq practice,5,-2,copilot,2,no,4
20,riya,management,chatgpt,3.8,projects,5,-2,copilot,2,no,4
20,riya,management,gemini,3.8,projects,5,-2,copilot,2,no,4
20,riya,management,copilot,3.8,projects,5,-2,copilot,2,no,4
21,pari,medical,chatgpt,4.2,doubt solving,3,-2,chatgpt,2,yes,7
21,pari,medical,gemini,4.2,doubt solving,3,-2,chatgpt,2,yes,7
21,pari,medical,copilot,4.2,doubt solving,3,-2,chatgpt,2,yes,7
21,pari,medical,chatgpt,4.2,resume writing,3,-2,chatgpt,2,yes,7
21,pari,medical,gemini,4.2,resume writing,3,-2,chatgpt,2,yes,7
21,pari,medical,copilot,4.2,resume writing,3,-2,chatgpt,2,yes,7
22,anika,agriculture,chatgpt,3.4,mcq practice,1,0,copilot,1,yes,1
22,anika,agriculture,chatgpt,3.4,projects,1,0,copilot,1,yes,1
23,ira,pharmacy,gemini,4.4,assignments,2,0,other,3,no,3
23,ira,pharmacy,midjourney,4.4,assignments,2,0,other,3,no,3
23,ira,pharmacy,gemini,4.4,coding help,2,0,other,3,no,3
23,ira,pharmacy,midjourney,4.4,coding help,2,0,other,3,no,3
24,meera,arts,chatgpt,1.6,learning new topics,1,1,chatgpt,4,yes,8
24,meera,arts,gemini,1.6,learning new topics,1,1,chatgpt,4,yes,8
24,meera,arts,copilot,1.6,learning new topics,1,1,chatgpt,4,yes,8
25,saanvi,commerce,gemini,4.4,content writing,5,0,gemini,3,yes,5
25,saanvi,commerce,midjourney,4.4,content writing,5,0,gemini,3,yes,5
26,navya,agriculture,chatgpt,3.1,doubt solving,3,-1,chatgpt,3,no,4
26,navya,agriculture,chatgpt,3.1,resume writing,3,-1,chatgpt,3,no,4
27,aarohi,science,gemini,0.5,mcq practice,5,-2,chatgpt,1,no,3
27,aarohi,science,gemini,0.5,projects,5,-2,chatgpt,1,no,3
28,prisha,science,chatgpt,1.8,content writing,1,-3,other,4,yes,10
28,prisha,science,gemini,1.8,content writing,1,-3,other,4,yes,10
28,prisha,science,copilot,1.8,content writing,1,-3,other,4,yes,10
29,ishita,commerce,gemini,2.4,mcq practice,1,-3,copilot,3,yes,8
29,ishita,commerce,gemini,2.4,projects,1,-3,copilot,3,yes,8
30,rakhi,arts,chatgpt,3.2,exam prep,2,0,copilot,3,yes,5
30,rakhi,arts,copilot,3.2,exam prep,2,0,copilot,3,yes,5
30,rakhi,arts,chatgpt,3.2,notes,2,0,copilot,3,yes,5
30,rakhi,arts,copilot,3.2,notes,2,0,copilot,3,yes,5
31,ramya,law,chatgpt,3.1,doubt solving,1,2,copilot,4,yes,9
31,ramya,law,gemini,3.1,doubt solving,1,2,copilot,4,yes,9
31,ramya,law,copilot,3.1,doubt solving,1,2,copilot,4,yes,9
31,ramya,law,chatgpt,3.1,resume writing,1,2,copilot,4,yes,9
31,ramya,law,gemini,3.1,resume writing,1,2,copilot,4,yes,9
31,ramya,law,copilot,3.1,resume writing,1,2,copilot,4,yes,9
32,sneha,science,gemini,0.7,assignments,3,0,other,2,yes,2
32,sneha,science,midjourney,0.7,assignments,3,0,other,2,yes,2
32,sneha,science,gemini,0.7,coding help,3,0,other,2,yes,2
32,sneha,science,midjourney,0.7,coding help,3,0,other,2,yes,2
33,divya,management,gemini,2.6,learning new topics,3,-2,chatgpt,3,no,10
33,divya,management,midjourney,2.6,learning new topics,3,-2,chatgpt,3,no,10
34,neha,agriculture,copilot,4.1,assignments,5,1,copilot,1,yes,8
34,neha,agriculture,copilot,4.1,coding help,5,1,copilot,1,yes,8
35,pooja,management,chatgpt,3.2,learning new topics,1,-1,copilot,2,yes,1
35,pooja,management,copilot,3.2,learning new topics,1,-1,copilot,2,yes,1
36,kavya,law,gemini,1.1,assignments,4,-1,chatgpt,4,no,6
36,kavya,law,gemini,1.1,coding help,4,-1,chatgpt,4,no,6
37,aishwarya,law,copilot,0.8,doubt solving,5,-3,copilot,3,yes,10
37,aishwarya,law,copilot,0.8,resume writing,5,-3,copilot,3,yes,10
38,shreya,medical,gemini,1.4,content writing,2,1,other,1,no,1
38,shreya,medical,midjourney,1.4,content writing,2,1,other,1,no,1
39,nandini,engineering,chatgpt,0.7,exam prep,4,2,gemini,4,yes,1
39,nandini,engineering,copilot,0.7,exam prep,4,2,gemini,4,yes,1
39,nandini,engineering,chatgpt,0.7,notes,4,2,gemini,4,yes,1
39,nandini,engineering,copilot,0.7,notes,4,2,gemini,4,yes,1
40,aarav,law,chatgpt,2.9,learning new topics,2,-2,chatgpt,3,no,7
40,aarav,law,copilot,2.9,learning new topics,2,-2,chatgpt,3,no,7
41,vivaan,hotel-management,copilot,3.1,assignments,2,-2,gemini,2,no,10
41,vivaan,hotel-management,copilot,3.1,coding help,2,-2,gemini,2,no,10
42,aditya,science,chatgpt,0.6,mcq practice,5,1,copilot,4,no,7
42,aditya,science,gemini,0.6,mcq practice,5,1,copilot,4,no,7
42,aditya,science,copilot,0.6,mcq practice,5,1,copilot,4,no,7
42,aditya,science,chatgpt,0.6,projects,5,1,copilot,4,no,7
42,aditya,science,gemini,0.6,projects,5,1,copilot,4,no,7
42,aditya,science,copilot,0.6,projects,5,1,copilot,4,no,7
43,vihaan,management,chatgpt,2.7,content writing,1,2,other,2,no,5
43,vihaan,management,gemini,2.7,content writing,1,2,other,2,no,5
43,vihaan,management,copilot,2.7,content writing,1,2,other,2,no,5
44,arjun,commerce,gemini,4.1,content writing,3,-3,chatgpt,3,yes,4
45,sai,law,gemini,2.9,mcq practice,2,-2,chatgpt,4,no,3
45,sai,law,midjourney,2.9,mcq practice,2,-2,chatgpt,4,no,3
45,sai,law,gemini,2.9,projects,2,-2,chatgpt,4,no,3
45,sai,law,midjourney,2.9,projects,2,-2,chatgpt,4,no,3
46,reyansh,engineering,chatgpt,1.0,content writing,5,-2,gemini,2,yes,6
46,reyansh,engineering,copilot,1.0,content writing,5,-2,gemini,2,yes,6
47,ayaan,science,chatgpt,1.9,mcq practice,5,-3,chatgpt,2,no,8
47,ayaan,science,gemini,1.9,mcq practice,5,-3,chatgpt,2,no,8
47,ayaan,science,copilot,1.9,mcq practice,5,-3,chatgpt,2,no,8
47,ayaan,science,chatgpt,1.9,projects,5,-3,chatgpt,2,no,8
47,ayaan,science,gemini,1.9,projects,5,-3,chatgpt,2,no,8
47,ayaan,science,copilot,1.9,projects,5,-3,chatgpt,2,no,8
48,krishna,commerce,gemini,1.1,mcq practice,1,1,gemini,1,yes,2
48,krishna,commerce,midjourney,1.1,mcq practice,1,1,gemini,1,yes,2
48,krishna,commerce,gemini,1.1,projects,1,1,gemini,1,yes,2
48,krishna,commerce,midjourney,1.1,projects,1,1,gemini,1,yes,2
49,ishaan,commerce,chatgpt,1.2,doubt solving,1,0,gemini,3,no,7
49,ishaan,commerce,copilot,1.2,doubt solving,1,0,gemini,3,no,7
49,ishaan,commerce,chatgpt,1.2,resume writing,1,0,gemini,3,no,7
49,ishaan,commerce,copilot,1.2,resume writing,1,0,gemini,3,no,7
50,rudra,pharmacy,copilot,0.8,doubt solving,1,-2,copilot,2,yes,9
50,rudra,pharmacy,copilot,0.8,resume writing,1,-2,copilot,2,yes,9
51,dhruv,science,chatgpt,3.9,exam prep,2,1,copilot,3,yes,2
51,dhruv,science,chatgpt,3.9,notes,2,1,copilot,3,yes,2
52,kabir,engineering,chatgpt,3.1,exam prep,2,-1,chatgpt,4,yes,7
52,kabir,engineering,gemini,3.1,exam prep,2,-1,chatgpt,4,yes,7
52,kabir,engineering,copilot,3.1,exam prep,2,-1,chatgpt,4,yes,7
52,kabir,engineering,chatgpt,3.1,notes,2,-1,chatgpt,4,yes,7
52,kabir,engineering,gemini,3.1,notes,2,-1,chatgpt,4,yes,7
52,kabir,engineering,copilot,3.1,notes,2,-1,chatgpt,4,yes,7
53,atharv,management,chatgpt,2.5,exam prep,5,1,chatgpt,1,yes,9
53,atharv,management,chatgpt,2.5,notes,5,1,chatgpt,1,yes,9
54,om,medical,chatgpt,2.9,exam prep,5,-1,copilot,2,no,3
54,om,medical,chatgpt,2.9,notes,5,-1,copilot,2,no,3
55,anaya,commerce,copilot,1.1,content writing,5,0,other,3,yes,9
56,siya,law,copilot,1.7,mcq practice,5,-1,gemini,1,yes,5
56,siya,law,copilot,1.7,projects,5,-1,gemini,1,yes,5
57,diya,engineering,chatgpt,0.7,mcq practice,1,-1,copilot,1,no,9
57,diya,engineering,copilot,0.7,mcq practice,1,-1,copilot,1,no,9
57,diya,engineering,chatgpt,0.7,projects,1,-1,copilot,1,no,9
57,diya,engineering,copilot,0.7,projects,1,-1,copilot,1,no,9
58,myra,pharmacy,gemini,4.2,assignments,4,-3,gemini,3,no,4
58,myra,pharmacy,gemini,4.2,coding help,4,-3,gemini,3,no,4
59,aadhya,law,gemini,2.6,learning new topics,2,-3,chatgpt,2,yes,3
60,riya,arts,copilot,4.2,learning new topics,2,-1,gemini,4,yes,6
61,pari,engineering,chatgpt,2.9,exam prep,2,-2,other,3,yes,6
61,pari,engineering,chatgpt,2.9,notes,2,-2,other,3,yes,6
62,anika,engineering,gemini,2.2,assignments,4,-3,gemini,3,no,10
62,anika,engineering,midjourney,2.2,assignments,4,-3,gemini,3,no,10
62,anika,engineering,gemini,2.2,coding help,4,-3,gemini,3,no,10
62,anika,engineering,midjourney,2.2,coding help,4,-3,gemini,3,no,10
63,ira,agriculture,copilot,1.3,doubt solving,1,-3,chatgpt,3,no,8
63,ira,agriculture,copilot,1.3,resume writing,1,-3,chatgpt,3,no,8
64,meera,law,copilot,2.0,learning new topics,2,-3,other,1,no,5
65,saanvi,medical,chatgpt,1.3,assignments,3,-3,chatgpt,2,yes,8
65,saanvi,medical,chatgpt,1.3,coding help,3,-3,chatgpt,2,yes,8
66,navya,pharmacy,chatgpt,2.6,learning new topics,3,-2,gemini,2,yes,8
67,aarohi,arts,gemini,3.8,mcq practice,1,0,copilot,1,yes,1
67,aarohi,arts,midjourney,3.8,mcq practice,1,0,copilot,1,yes,1
67,aarohi,arts,gemini,3.8,projects,1,0,copilot,1,yes,1
67,aarohi,arts,midjourney,3.8,projects,1,0,copilot,1,yes,1
68,prisha,hotel-management,gemini,1.5,learning new topics,4,3,chatgpt,2,no,10
68,prisha,hotel-management,midjourney,1.5,learning new topics,4,3,chatgpt,2,no,10
69,ishita,agriculture,copilot,0.8,content writing,5,-1,other,2,yes,6
70,rakhi,pharmacy,gemini,3.3,exam prep,5,1,other,1,no,9
70,rakhi,pharmacy,midjourney,3.3,exam prep,5,1,other,1,no,9
70,rakhi,pharmacy,gemini,3.3,notes,5,1,other,1,no,9
70,rakhi,pharmacy,midjourney,3.3,notes,5,1,other,1,no,9
71,ramya,engineering,chatgpt,3.1,assignments,5,1,gemini,2,yes,8
71,ramya,engineering,chatgpt,3.1,coding help,5,1,gemini,2,yes,8
72,sneha,science,gemini,2.0,mcq practice,2,-2,other,4,no,10
72,sneha,science,gemini,2.0,projects,2,-2,other,4,no,10
73,divya,commerce,gemini,4.1,content writing,5,-3,copilot,4,no,9
73,divya,commerce,midjourney,4.1,content writing,5,-3,copilot,4,no,9
74,neha,agriculture,copilot,2.9,exam prep,3,-2,gemini,2,yes,1
74,neha,agriculture,copilot,2.9,notes,3,-2,gemini,2,yes,1
75,pooja,arts,chatgpt,3.0,learning new topics,2,-2,copilot,1,no,9
75,pooja,arts,gemini,3.0,learning new topics,2,-2,copilot,1,no,9
75,pooja,arts,copilot,3.0,learning new topics,2,-2,copilot,1,no,9
76,kavya,medical,copilot,4.3,mcq practice,2,3,gemini,1,yes,5
76,kavya,medical,copilot,4.3,projects,2,3,gemini,1,yes,5
77,aishwarya,management,chatgpt,3.8,content writing,3,2,gemini,1,no,8
78,shreya,science,gemini,3.7,learning new topics,2,2,other,3,no,8
79,nandini,pharmacy,chatgpt,2.3,content writing,3,0,other,1,no,7
80,aarav,hotel-management,gemini,0.9,assignments,3,2,copilot,2,yes,5
80,aarav,hotel-management,gemini,0.9,coding help,3,2,copilot,2,yes,5
81,vivaan,arts,chatgpt,4.2,mcq practice,5,3,copilot,1,yes,1
81,vivaan,arts,chatgpt,4.2,projects,5,3,copilot,1,yes,1
82,aditya,science,copilot,1.2,exam prep,2,-2,gemini,4,yes,9
82,aditya,science,copilot,1.2,notes,2,-2,gemini,4,yes,9
83,vihaan,science,copilot,1.3,doubt solving,5,3,other,3,yes,10
83,vihaan,science,copilot,1.3,resume writing,5,3,other,3,yes,10
84,arjun,hotel-management,chatgpt,0.9,doubt solving,2,1,copilot,1,no,6
84,arjun,hotel-management,gemini,0.9,doubt solving,2,1,copilot,1,no,6
84,arjun,hotel-management,copilot,0.9,doubt solving,2,1,copilot,1,no,6
84,arjun,hotel-management,chatgpt,0.9,resume writing,2,1,copilot,1,no,6
84,arjun,hotel-management,gemini,0.9,resume writing,2,1,copilot,1,no,6
84,arjun,hotel-management,copilot,0.9,resume writing,2,1,copilot,1,no,6
85,sai,pharmacy,gemini,3.1,content writing,1,3,gemini,1,yes,1
86,reyansh,hotel-management,gemini,2.1,content writing,1,-1,other,3,yes,5
87,ayaan,commerce,chatgpt,4.4,doubt solving,1,1,gemini,3,no,2
87,ayaan,commerce,gemini,4.4,doubt solving,1,1,gemini,3,no,2
87,ayaan,commerce,copilot,4.4,doubt solving,1,1,gemini,3,no,2
87,ayaan,commerce,chatgpt,4.4,resume writing,1,1,gemini,3,no,2
87,ayaan,commerce,gemini,4.4,resume writing,1,1,gemini,3,no,2
87,ayaan,commerce,copilot,4.4,resume writing,1,1,gemini,3,no,2
88,krishna,law,copilot,0.8,content writing,4,1,gemini,2,yes,6
89,ishaan,arts,gemini,3.9,doubt solving,4,-2,other,3,no,1
89,ishaan,arts,gemini,3.9,resume writing,4,-2,other,3,no,1
90,rudra,medical,gemini,0.5,mcq practice,1,-3,copilot,3,no,1
90,rudra,medical,gemini,0.5,projects,1,-3,copilot,3,no,1
91,dhruv,medical,gemini,4.5,mcq practice,5,3,other,2,yes,9
91,dhruv,medical,gemini,4.5,projects,5,3,other,2,yes,9
92,kabir,pharmacy,chatgpt,1.8,doubt solving,1,1,chatgpt,4,yes,7
92,kabir,pharmacy,copilot,1.8,doubt solving,1,1,chatgpt,4,yes,7
92,kabir,pharmacy,chatgpt,1.8,resume writing,1,1,chatgpt,4,yes,7
92,kabir,pharmacy,copilot,1.8,resume writing,1,1,chatgpt,4,yes,7
93,atharv,engineering,copilot,1.4,mcq practice,2,2,other,4,yes,10
93,atharv,engineering,copilot,1.4,projects,2,2,other,4,yes,10
94,om,hotel-management,copilot,0.6,assignments,1,0,other,1,no,10
94,om,hotel-management,copilot,0.6,coding help,1,0,other,1,no,10
95,anaya,law,chatgpt,4.3,exam prep,4,-1,copilot,3,no,3
95,anaya,law,copilot,4.3,exam prep,4,-1,copilot,3,no,3
95,anaya,law,chatgpt,4.3,notes,4,-1,copilot,3,no,3
95,anaya,law,copilot,4.3,notes,4,-1,copilot,3,no,3
96,siya,arts,chatgpt,4.1,learning new topics,4,3,other,4,yes,7
96,siya,arts,gemini,4.1,learning new topics,4,3,other,4,yes,7
96,siya,arts,copilot,4.1,learning new topics,4,3,other,4,yes,7
97,diya,management,copilot,3.2,learning new topics,4,1,other,3,yes,7
98,myra,commerce,gemini,2.9,mcq practice,5,-2,chatgpt,3,no,9
98,myra,commerce,midjourney,2.9,mcq practice,5,-2,chatgpt,3,no,9
98,myra,commerce,gemini,2.9,projects,5,-2,chatgpt,3,no,9
98,myra,commerce,midjourney,2.9,projects,5,-2,chatgpt,3,no,9
99,aadhya,law,copilot,1.8,doubt solving,5,-2,chatgpt,4,yes,10
99,aadhya,law,copilot,1.8,resume writing,5,-2,chatgpt,4,yes,10
100,riya,management,copilot,1.2,exam prep,1,-3,other,4,no,3
100,riya,management,copilot,1.2,notes,1,-3,other,4,no,3
101,pari,management,gemini,1.0,learning new topics,3,-1,chatgpt,1,no,8
101,pari,management,midjourney,1.0,learning new topics,3,-1,chatgpt,1,no,8
102,anika,medical,chatgpt,3.5,doubt solving,2,0,copilot,2,no,4
102,anika,medical,copilot,3.5,doubt solving,2,0,copilot,2,no,4
102,anika,medical,chatgpt,3.5,resume writing,2,0,copilot,2,no,4
102,anika,medical,copilot,3.5,resume writing,2,0,copilot,2,no,4
103,ira,engineering,gemini,3.9,learning new topics,3,-2,copilot,2,yes,9
103,ira,engineering,midjourney,3.9,learning new topics,3,-2,copilot,2,yes,9
104,meera,agriculture,gemini,2.9,learning new topics,2,0,other,3,no,8
105,saanvi,medical,gemini,1.5,mcq practice,3,1,gemini,3,no,8
105,saanvi,medical,midjourney,1.5,mcq practice,3,1,gemini,3,no,8
105,saanvi,medical,gemini,1.5,projects,3,1,gemini,3,no,8
105,saanvi,medical,midjourney,1.5,projects,3,1,gemini,3,no,8
106,navya,hotel-management,chatgpt,0.9,mcq practice,2,-1,chatgpt,3,yes,10
106,navya,hotel-management,gemini,0.9,mcq practice,2,-1,chatgpt,3,yes,10
106,navya,hotel-management,copilot,0.9,mcq practice,2,-1,chatgpt,3,yes,10
106,navya,hotel-management,chatgpt,0.9,projects,2,-1,chatgpt,3,yes,10
106,navya,hotel-management,gemini,0.9,projects,2,-1,chatgpt,3,yes,10
106,navya,hotel-management,copilot,0.9,projects,2,-1,chatgpt,3,yes,10
107,aarohi,science,chatgpt,1.7,learning new topics,2,-2,other,2,yes,10
107,aarohi,science,gemini,1.7,learning new topics,2,-2,other,2,yes,10
107,aarohi,science,copilot,1.7,learning new topics,2,-2,other,2,yes,10
108,prisha,commerce,chatgpt,3.7,doubt solving,4,1,gemini,1,no,5
108,prisha,commerce,copilot,3.7,doubt solving,4,1,gemini,1,no,5
108,prisha,commerce,chatgpt,3.7,resume writing,4,1,gemini,1,no,5
108,prisha,commerce,copilot,3.7,resume writing,4,1,gemini,1,no,5
109,ishita,science,chatgpt,0.8,mcq practice,4,-1,chatgpt,1,no,2
109,ishita,science,copilot,0.8,mcq practice,4,-1,chatgpt,1,no,2
109,ishita,science,chatgpt,0.8,projects,4,-1,chatgpt,1,no,2
109,ishita,science,copilot,0.8,projects,4,-1,chatgpt,1,no,2
110,rakhi,pharmacy,copilot,3.1,exam prep,5,2,chatgpt,4,yes,1
110,rakhi,pharmacy,copilot,3.1,notes,5,2,chatgpt,4,yes,1
111,ramya,science,gemini,4.4,assignments,1,-1,chatgpt,4,yes,6
111,ramya,science,midjourney,4.4,assignments,1,-1,chatgpt,4,yes,6
111,ramya,science,gemini,4.4,coding help,1,-1,chatgpt,4,yes,6
111,ramya,science,midjourney,4.4,coding help,1,-1,chatgpt,4,yes,6
112,sneha,management,gemini,1.2,content writing,4,-2,gemini,2,no,3
112,sneha,management,midjourney,1.2,content writing,4,-2,gemini,2,no,3
113,divya,commerce,chatgpt,3.3,mcq practice,4,2,copilot,4,yes,8
113,divya,commerce,chatgpt,3.3,projects,4,2,copilot,4,yes,8
114,neha,law,chatgpt,2.6,content writing,2,-3,gemini,4,no,8
114,neha,law,copilot,2.6,content writing,2,-3,gemini,4,no,8
115,pooja,pharmacy,gemini,2.2,learning new topics,2,3,other,4,yes,1
115,pooja,pharmacy,midjourney,2.2,learning new topics,2,3,other,4,yes,1
116,kavya,arts,chatgpt,0.8,exam prep,1,0,gemini,1,no,7
116,kavya,arts,chatgpt,0.8,notes,1,0,gemini,1,no,7
117,aishwarya,science,chatgpt,0.6,assignments,2,3,gemini,2,no,1
117,aishwarya,science,copilot,0.6,assignments,2,3,gemini,2,no,1
117,aishwarya,science,chatgpt,0.6,coding help,2,3,gemini,2,no,1
117,aishwarya,science,copilot,0.6,coding help,2,3,gemini,2,no,1
118,shreya,agriculture,chatgpt,3.3,learning new topics,4,-3,chatgpt,1,yes,9
119,nandini,law,gemini,3.4,learning new topics,2,0,other,1,no,4
120,aarav,hotel-management,chatgpt,4.3,learning new topics,5,-3,gemini,4,yes,7
121,vivaan,medical,chatgpt,0.8,learning new topics,3,2,chatgpt,4,yes,5
121,vivaan,medical,copilot,0.8,learning new topics,3,2,chatgpt,4,yes,5
122,aditya,hotel-management,gemini,3.9,exam prep,4,3,gemini,4,yes,2
122,aditya,hotel-management,gemini,3.9,notes,4,3,gemini,4,yes,2
123,vihaan,science,gemini,2.8,learning new topics,4,2,gemini,3,yes,4
124,arjun,law,copilot,1.4,content writing,1,2,chatgpt,3,yes,9
125,sai,law,gemini,1.5,learning new topics,5,-1,gemini,3,no,9
125,sai,law,midjourney,1.5,learning new topics,5,-1,gemini,3,no,9
126,reyansh,engineering,gemini,2.6,assignments,4,2,other,2,yes,2
126,reyansh,engineering,gemini,2.6,coding help,4,2,other,2,yes,2
127,ayaan,hotel-management,gemini,2.0,content writing,3,1,gemini,3,yes,4
128,krishna,pharmacy,chatgpt,0.5,exam prep,1,-1,gemini,3,no,4
128,krishna,pharmacy,copilot,0.5,exam prep,1,-1,gemini,3,no,4
128,krishna,pharmacy,chatgpt,0.5,notes,1,-1,gemini,3,no,4
128,krishna,pharmacy,copilot,0.5,notes,1,-1,gemini,3,no,4
129,ishaan,pharmacy,gemini,3.2,mcq practice,4,-1,copilot,2,yes,7
129,ishaan,pharmacy,gemini,3.2,projects,4,-1,copilot,2,yes,7
130,rudra,arts,chatgpt,2.6,assignments,5,2,chatgpt,2,no,6
130,rudra,arts,chatgpt,2.6,coding help,5,2,chatgpt,2,no,6
131,dhruv,management,chatgpt,1.1,doubt solving,4,2,chatgpt,4,no,6
131,dhruv,management,gemini,1.1,doubt solving,4,2,chatgpt,4,no,6
131,dhruv,management,copilot,1.1,doubt solving,4,2,chatgpt,4,no,6
131,dhruv,management,chatgpt,1.1,resume writing,4,2,chatgpt,4,no,6
131,dhruv,management,gemini,1.1,resume writing,4,2,chatgpt,4,no,6
131,dhruv,management,copilot,1.1,resume writing,4,2,chatgpt,4,no,6
132,kabir,hotel-management,chatgpt,4.2,mcq practice,4,-1,copilot,4,yes,4
132,kabir,hotel-management,chatgpt,4.2,projects,4,-1,copilot,4,yes,4
133,atharv,science,gemini,2.4,doubt solving,5,1,gemini,4,yes,7
133,atharv,science,gemini,2.4,resume writing,5,1,gemini,4,yes,7
134,om,medical,gemini,1.5,assignments,5,2,copilot,4,no,3
134,om,medical,gemini,1.5,coding help,5,2,copilot,4,no,3
135,anaya,engineering,gemini,3.3,mcq practice,2,3,chatgpt,4,no,9
135,anaya,engineering,gemini,3.3,projects,2,3,chatgpt,4,no,9
136,siya,pharmacy,chatgpt,2.3,exam prep,2,1,copilot,3,yes,9
136,siya,pharmacy,chatgpt,2.3,notes,2,1,copilot,3,yes,9
137,diya,arts,copilot,1.1,exam prep,5,2,copilot,3,no,6
137,diya,arts,copilot,1.1,notes,5,2,copilot,3,no,6
138,myra,arts,copilot,1.6,content writing,2,-3,gemini,3,no,9
139,aadhya,engineering,copilot,1.6,assignments,3,-3,gemini,4,no,1
139,aadhya,engineering,copilot,1.6,coding help,3,-3,gemini,4,no,1
140,riya,science,copilot,3.1,content writing,5,0,chatgpt,2,no,9
141,pari,science,copilot,2.7,mcq practice,3,0,other,4,no,5
141,pari,science,copilot,2.7,projects,3,0,other,4,no,5
142,anika,arts,gemini,1.9,mcq practice,5,-1,gemini,3,yes,3
142,anika,arts,midjourney,1.9,mcq practice,5,-1,gemini,3,yes,3
