Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,Device_Used,Internet_Access,Student_ID
kabir,oriental university,engineering,4,"chatgpt, gemini, copilot",3.1,notes,2,-1,yes,chatgpt,7,yes,mobile,medium,52
atharv,"the global university, itanagar",management,1,chatgpt,2.5,exam prep,5,1,yes,chatgpt,9,no,mobile,medium,53
atharv,"the global university, itanagar",management,1,chatgpt,2.5,notes,5,1,yes,chatgpt,9,no,mobile,medium,53
om,narsee monjee institute of management studies,medical,2,chatgpt,2.9,exam prep,5,-1,no,copilot,3,yes,laptop,poor,54
om,narsee monjee institute of management studies,medical,2,chatgpt,2.9,notes,5,-1,no,copilot,3,yes,laptop,poor,54
anaya,model institute of engineering and technology,commerce,3,copilot,1.1,content writing,5,0,yes,other,9,yes,tablet,medium,55
siya,kerala university,law,1,copilot,1.7,mcq practice,5,-1,yes,gemini,5,no,mobile,high,56
siya,kerala university,law,1,copilot,1.7,projects,5,-1,yes,gemini,5,no,mobile,high,56
diya,international institute of information technology,engineering,1,"chatgpt, copilot",0.7,mcq practice,1,-1,no,copilot,9,yes,tablet,high,57
diya,international institute of information technology,engineering,1,"chatgpt, copilot",0.7,projects,1,-1,no,copilot,9,yes,tablet,high,57
myra,panjab university,pharmacy,3,gemini,4.2,assignments,4,-3,no,gemini,4,yes,mobile,poor,58
myra,panjab university,pharmacy,3,gemini,4.2,coding help,4,-3,no,gemini,4,yes,mobile,poor,58
aadhya,"pdm university, bahadurgarh, bahadurgarh",law,2,gemini,2.6,learning new topics,2,-3,yes,chatgpt,3,no,laptop,medium,59
riya,dibrugarh hanumanbux surajmal kanoi college,arts,4,copilot,4.2,learning new topics,2,-1,yes,gemini,6,yes,tablet,high,60
pari,government engineering college,engineering,3,chatgpt,2.9,exam prep,2,-2,yes,other,6,yes,laptop,medium,61
pari,government engineering college,engineering,3,chatgpt,2.9,notes,2,-2,yes,other,6,yes,laptop,medium,61
anika,indian institute of information technology,engineering,3,"gemini, midjourney",2.2,assignments,4,-3,no,gemini,10,no,laptop,poor,62
anika,indian institute of information technology,engineering,3,"gemini, midjourney",2.2,coding help,4,-3,no,gemini,10,no,laptop,poor,62
ira,institute of agri business management,agriculture,3,copilot,1.3,doubt solving,1,-3,no,chatgpt,8,no,tablet,medium,63
ira,institute of agri business management,agriculture,3,copilot,1.3,resume writing,1,-3,no,chatgpt,8,no,tablet,medium,63
meera,"institute of law, nirma university",law,1,copilot,2.0,learning new topics,2,-3,no,other,5,no,mobile,poor,64
saanvi,institute of medical sciences and sum hospital,medical,2,chatgpt,1.3,assignments,3,-3,yes,chatgpt,8,no,laptop,high,65
saanvi,institute of medical sciences and sum hospital,medical,2,chatgpt,1.3,coding help,3,-3,yes,chatgpt,8,no,laptop,high,65
navya,"amity university, gwalior",pharmacy,2,chatgpt,2.6,learning new topics,3,-2,yes,gemini,8,yes,laptop,high,66
aarohi,jayoti vidyapeeth women's university,arts,1,"gemini, midjourney",3.8,mcq practice,1,0,yes,copilot,1,yes,mobile,medium,67
aarohi,jayoti vidyapeeth women's university,arts,1,"gemini, midjourney",3.8,projects,1,0,yes,copilot,1,yes,mobile,medium,67
prisha,"institute of hotel management shri shakti- [ihm],",hotel-management,2,"gemini, midjourney",1.5,learning new topics,4,3,no,chatgpt,10,yes,tablet,medium,68
ishita,bidhan chandra krishi viswavidyalaya,agriculture,2,copilot,0.8,content writing,5,-1,yes,other,6,no,tablet,medium,69
rakhi,"indira gandhi institute of pharmaceutical sciences, bhubaneswar",pharmacy,1,"gemini, midjourney",3.3,exam prep,5,1,no,other,9,no,laptop,medium,70
rakhi,"indira gandhi institute of pharmaceutical sciences, bhubaneswar",pharmacy,1,"gemini, midjourney",3.3,notes,5,1,no,other,9,no,laptop,medium,70
ramya,"jntua college of engineering, ananthapur",engineering,2,chatgpt,3.1,assignments,5,1,yes,gemini,8,no,mobile,high,71
ramya,"jntua college of engineering, ananthapur",engineering,2,chatgpt,3.1,coding help,5,1,yes,gemini,8,no,mobile,high,71
sneha,"poddar group of institutions, jaipur",science,4,gemini,2.0,mcq practice,2,-2,no,other,10,no,tablet,poor,72
sneha,"poddar group of institutions, jaipur",science,4,gemini,2.0,projects,2,-2,no,other,10,no,tablet,poor,72
divya,"st. mira's college for girls, pune",commerce,4,"gemini, midjourney",4.1,content writing,5,-3,no,copilot,9,yes,laptop,high,73
neha,"maharaja ranjit singh punjab technical university, bathinda",agriculture,2,copilot,2.9,exam prep,3,-2,yes,gemini,1,yes,laptop,poor,74
neha,"maharaja ranjit singh punjab technical university, bathinda",agriculture,2,copilot,2.9,notes,3,-2,yes,gemini,1,yes,laptop,poor,74
pooja,"iihmr university, jaipur",arts,1,"chatgpt, gemini, copilot",3.0,learning new topics,2,-2,no,copilot,9,yes,laptop,medium,75
kavya,seth gs medical college,medical,1,copilot,4.3,mcq practice,2,3,yes,gemini,5,no,laptop,high,76
kavya,seth gs medical college,medical,1,copilot,4.3,projects,2,3,yes,gemini,5,no,laptop,high,76
aishwarya,"faculty of management studies, manav rachna international",management,1,chatgpt,3.8,content writing,3,2,no,gemini,8,no,tablet,high,77
shreya,dav college,science,3,gemini,3.7,learning new topics,2,2,no,other,8,yes,mobile,high,78
nandini,sri ram chandra bhanja medical college and,pharmacy,1,chatgpt,2.3,content writing,3,0,no,other,7,yes,laptop,medium,79
aarav,rp inderaprastha institute of technology,hotel-management,2,gemini,0.9,assignments,3,2,yes,copilot,5,no,mobile,medium,80
aarav,rp inderaprastha institute of technology,hotel-management,2,gemini,0.9,coding help,3,2,yes,copilot,5,no,mobile,medium,80
vivaan,"university school of business, chandigarh university",arts,1,chatgpt,4.2,mcq practice,5,3,yes,copilot,1,no,laptop,medium,81
vivaan,"university school of business, chandigarh university",arts,1,chatgpt,4.2,projects,5,3,yes,copilot,1,no,laptop,medium,81
aditya,jesus and mary college,science,4,copilot,1.2,exam prep,2,-2,yes,gemini,9,yes,tablet,poor,82
aditya,jesus and mary college,science,4,copilot,1.2,notes,2,-2,yes,gemini,9,yes,tablet,poor,82
vihaan,baba balak nath post graduate college,science,3,copilot,1.3,doubt solving,5,3,yes,other,10,yes,tablet,medium,83
vihaan,baba balak nath post graduate college,science,3,copilot,1.3,resume writing,5,3,yes,other,10,yes,tablet,medium,83
arjun,"c. v. raman global university, bhubaneswar",hotel-management,1,"chatgpt, gemini, copilot",0.9,doubt solving,2,1,no,copilot,6,no,mobile,high,84
arjun,"c. v. raman global university, bhubaneswar",hotel-management,1,"chatgpt, gemini, copilot",0.9,resume writing,2,1,no,copilot,6,no,mobile,high,84
sai,sunrise university,pharmacy,1,gemini,3.1,content writing,1,3,yes,gemini,1,no,mobile,high,85
reyansh,"dr. zakir husain institute, patna",hotel-management,3,gemini,2.1,content writing,1,-1,yes,other,5,no,mobile,poor,86
ayaan,"shree damodar college of commerce and economics, salcete",commerce,3,"chatgpt, gemini, copilot",4.4,doubt solving,1,1,no,gemini,2,no,laptop,medium,87
ayaan,"shree damodar college of commerce and economics, salcete",commerce,3,"chatgpt, gemini, copilot",4.4,resume writing,1,1,no,gemini,2,no,laptop,medium,87
krishna,royal global university,law,2,copilot,0.8,content writing,4,1,yes,gemini,6,yes,laptop,medium,88
ishaan,vit university,arts,3,gemini,3.9,doubt solving,4,-2,no,other,1,yes,mobile,high,89
ishaan,vit university,arts,3,gemini,3.9,resume writing,4,-2,no,other,1,yes,mobile,high,89
rudra,pt bhagwat dayal sharma post graduate institute,medical,3,gemini,0.5,mcq practice,1,-3,no,copilot,1,no,laptop,medium,90
rudra,pt bhagwat dayal sharma post graduate institute,medical,3,gemini,0.5,projects,1,-3,no,copilot,1,no,laptop,medium,90
dhruv,all india institute of management studies,medical,2,gemini,4.5,mcq practice,5,3,yes,other,9,yes,tablet,poor,91
dhruv,all india institute of management studies,medical,2,gemini,4.5,projects,5,3,yes,other,9,yes,tablet,poor,91
kabir,"shobhit university, meerut",pharmacy,4,"chatgpt, copilot",1.8,doubt solving,1,1,yes,chatgpt,7,yes,tablet,high,92
kabir,"shobhit university, meerut",pharmacy,4,"chatgpt, copilot",1.8,resume writing,1,1,yes,chatgpt,7,yes,tablet,high,92
atharv,"kk college of engineering and management, dhanbad",engineering,4,copilot,1.4,mcq practice,2,2,yes,other,10,yes,mobile,high,93
atharv,"kk college of engineering and management, dhanbad",engineering,4,copilot,1.4,projects,2,2,yes,other,10,yes,mobile,high,93
om,"amity university, kolkata",hotel-management,1,copilot,0.6,assignments,1,0,no,other,10,yes,laptop,medium,94
om,"amity university, kolkata",hotel-management,1,copilot,0.6,coding help,1,0,no,other,10,yes,laptop,medium,94
anaya,"emea college of arts and science kondotty,",law,3,"chatgpt, copilot",4.3,exam prep,4,-1,no,copilot,3,yes,laptop,poor,95
anaya,"emea college of arts and science kondotty,",law,3,"chatgpt, copilot",4.3,notes,4,-1,no,copilot,3,yes,laptop,poor,95
siya,government degree college,arts,4,"chatgpt, gemini, copilot",4.1,learning new topics,4,3,yes,other,7,yes,laptop,high,96
diya,vaishali institute of business and rural management,management,3,copilot,3.2,learning new topics,4,1,yes,other,7,no,laptop,poor,97
myra,"pg government college for girls, chandigarh",commerce,3,"gemini, midjourney",2.9,mcq practice,5,-2,no,chatgpt,9,no,tablet,poor,98
myra,"pg government college for girls, chandigarh",commerce,3,"gemini, midjourney",2.9,projects,5,-2,no,chatgpt,9,no,tablet,poor,98
aadhya,goswami ganesh dutt sanatan dharama college,law,4,copilot,1.8,doubt solving,5,-2,yes,chatgpt,10,no,laptop,high,99
aadhya,goswami ganesh dutt sanatan dharama college,law,4,copilot,1.8,resume writing,5,-2,yes,chatgpt,10,no,laptop,high,99
riya,institute of technology and science,management,4,copilot,1.2,exam prep,1,-3,no,other,3,yes,mobile,medium,100
riya,institute of technology and science,management,4,copilot,1.2,notes,1,-3,no,other,3,yes,mobile,medium,100
pari,people's institute of management & research,management,1,"gemini, midjourney",1.0,learning new topics,3,-1,no,chatgpt,8,no,tablet,medium,101
anika,"icfai university, west tripura",medical,2,"chatgpt, copilot",3.5,doubt solving,2,0,no,copilot,4,no,laptop,medium,102
anika,"icfai university, west tripura",medical,2,"chatgpt, copilot",3.5,resume writing,2,0,no,copilot,4,no,laptop,medium,102
ira,"government polytechnic college, sopore",engineering,2,"gemini, midjourney",3.9,learning new topics,3,-2,yes,copilot,9,yes,laptop,high,103
meera,cochin university of science and technology,agriculture,3,gemini,2.9,learning new topics,2,0,no,other,8,no,laptop,medium,104
saanvi,kalinga institute of industrial technology,medical,3,"gemini, midjourney",1.5,mcq practice,3,1,no,gemini,8,no,mobile,high,105
saanvi,kalinga institute of industrial technology,medical,3,"gemini, midjourney",1.5,projects,3,1,no,gemini,8,no,mobile,high,105
navya,himgiri zee university,hotel-management,3,"chatgpt, gemini, copilot",0.9,mcq practice,2,-1,yes,chatgpt,10,no,mobile,poor,106
navya,himgiri zee university,hotel-management,3,"chatgpt, gemini, copilot",0.9,projects,2,-1,yes,chatgpt,10,no,mobile,poor,106
aarohi,lj institute of computer application,science,2,"chatgpt, gemini, copilot",1.7,learning new topics,2,-2,yes,other,10,yes,tablet,medium,107
prisha,"nirmalagiri college, kannur",commerce,1,"chatgpt, copilot",3.7,doubt solving,4,1,no,gemini,5,yes,laptop,high,108
prisha,"nirmalagiri college, kannur",commerce,1,"chatgpt, copilot",3.7,resume writing,4,1,no,gemini,5,yes,laptop,high,108
ishita,mahatma jyoti rao phoole university,science,1,"chatgpt, copilot",0.8,mcq practice,4,-1,no,chatgpt,2,yes,mobile,high,109
ishita,mahatma jyoti rao phoole university,science,1,"chatgpt, copilot",0.8,projects,4,-1,no,chatgpt,2,yes,mobile,high,109
rakhi,institute of pharmacy,pharmacy,4,copilot,3.1,exam prep,5,2,yes,chatgpt,1,yes,laptop,medium,110
rakhi,institute of pharmacy,pharmacy,4,copilot,3.1,notes,5,2,yes,chatgpt,1,yes,laptop,medium,110
ramya,lm college of pharmacy,science,4,"gemini, midjourney",4.4,assignments,1,-1,yes,chatgpt,6,yes,tablet,poor,111
ramya,lm college of pharmacy,science,4,"gemini, midjourney",4.4,coding help,1,-1,yes,chatgpt,6,yes,tablet,poor,111
sneha,central university of jharkhand,management,2,"gemini, midjourney",1.2,content writing,4,-2,no,gemini,3,no,laptop,high,112
divya,acharya narendra dev college,commerce,4,chatgpt,3.3,mcq practice,4,2,yes,copilot,8,no,mobile,medium,113
divya,acharya narendra dev college,commerce,4,chatgpt,3.3,projects,4,2,yes,copilot,8,no,mobile,medium,113
neha,"arya post graduate college, panipat",law,4,"chatgpt, copilot",2.6,content writing,2,-3,no,gemini,8,yes,laptop,medium,114
pooja,amar shaheed baba ajit singh jujhar singh,pharmacy,4,"gemini, midjourney",2.2,learning new topics,2,3,yes,other,1,yes,laptop,poor,115
kavya,"umiya arts and commerce college for girls,",arts,1,chatgpt,0.8,exam prep,1,0,no,gemini,7,yes,mobile,poor,116
kavya,"umiya arts and commerce college for girls,",arts,1,chatgpt,0.8,notes,1,0,no,gemini,7,yes,mobile,poor,116
aishwarya,"holy cross college, agartala",science,2,"chatgpt, copilot",0.6,assignments,2,3,no,gemini,1,yes,laptop,medium,117
aishwarya,"holy cross college, agartala",science,2,"chatgpt, copilot",0.6,coding help,2,3,no,gemini,1,yes,laptop,medium,117
shreya,oriental university,agriculture,1,chatgpt,3.3,learning new topics,4,-3,yes,chatgpt,9,no,mobile,high,118
nandini,nehru academy of law,law,1,gemini,3.4,learning new topics,2,0,no,other,4,no,laptop,high,119
aarav,grd institute of management and technology,hotel-management,4,chatgpt,4.3,learning new topics,5,-3,yes,gemini,7,yes,tablet,high,120
vivaan,"government medical college / rajindra hospital-[gmcp], patiala",medical,4,"chatgpt, copilot",0.8,learning new topics,3,2,yes,chatgpt,5,no,laptop,medium,121
aditya,jp institute of hotel management & catering,hotel-management,4,gemini,3.9,exam prep,4,3,yes,gemini,2,yes,mobile,medium,122
aditya,jp institute of hotel management & catering,hotel-management,4,gemini,3.9,notes,4,3,yes,gemini,2,yes,mobile,medium,122
vihaan,"dhanamanjuri university, imphal",science,3,gemini,2.8,learning new topics,4,2,yes,gemini,4,yes,mobile,medium,123
arjun,"durgapur institute of legal studies, bardhaman",law,3,copilot,1.4,content writing,1,2,yes,chatgpt,9,no,laptop,medium,124
sai,srm institute of technology,law,3,"gemini, midjourney",1.5,learning new topics,5,-1,no,gemini,9,no,mobile,poor,125
reyansh,madhav university,engineering,2,gemini,2.6,assignments,4,2,yes,other,2,yes,tablet,poor,126
reyansh,madhav university,engineering,2,gemini,2.6,coding help,4,2,yes,other,2,yes,tablet,poor,126
ayaan,itm institute of hotel management,hotel-management,3,gemini,2.0,content writing,3,1,yes,gemini,4,yes,laptop,medium,127
krishna,"ips group of colleges, gwalior",pharmacy,3,"chatgpt, copilot",0.5,exam prep,1,-1,no,gemini,4,yes,tablet,poor,128
krishna,"ips group of colleges, gwalior",pharmacy,3,"chatgpt, copilot",0.5,notes,1,-1,no,gemini,4,yes,tablet,poor,128
ishaan,"rayat bahra hoshiarpur campus, hoshiarpur",pharmacy,2,gemini,3.2,mcq practice,4,-1,yes,copilot,7,yes,mobile,poor,129
ishaan,"rayat bahra hoshiarpur campus, hoshiarpur",pharmacy,2,gemini,3.2,projects,4,-1,yes,copilot,7,yes,mobile,poor,129
rudra,"st francis sales college, west siang",arts,2,chatgpt,2.6,assignments,5,2,no,chatgpt,6,no,tablet,poor,130
rudra,"st francis sales college, west siang",arts,2,chatgpt,2.6,coding help,5,2,no,chatgpt,6,no,tablet,poor,130
dhruv,"pcte group of institutes, ludhiana",management,4,"chatgpt, gemini, copilot",1.1,doubt solving,4,2,no,chatgpt,6,yes,mobile,high,131
dhruv,"pcte group of institutes, ludhiana",management,4,"chatgpt, gemini, copilot",1.1,resume writing,4,2,no,chatgpt,6,yes,mobile,high,131
kabir,sister nivedita university,hotel-management,4,chatgpt,4.2,mcq practice,4,-1,yes,copilot,4,yes,tablet,poor,132
kabir,sister nivedita university,hotel-management,4,chatgpt,4.2,projects,4,-1,yes,copilot,4,yes,tablet,poor,132
